time,x,y,z,x_rot,y_rot,z_rot
1692025890.8228018,2.990388490735278,0.970620233098899,0.2713044538029686,0.03568141617212408,0.026006389042007076,1.4814109378390048
1692025890.839785,2.9903414580149033,0.9704709333096108,0.2712281047666286,0.035856581071327914,0.02585038261534415,1.4816416029420683
1692025890.842617,2.9900390001442076,0.9713198071786636,0.27233293924553004,0.03890883450351928,0.029860633640301323,1.4790927404597893
1692025890.852603,2.9899267087619488,0.9712801348220607,0.272248832891658,0.038687168920385914,0.029595385285464532,1.4790464417738725
1692025890.8627815,2.989929616294601,0.9716700614849396,0.2725104546424775,0.038923101684864445,0.03032981286889635,1.4783253560589749
1692025890.872985,2.9902982592325795,0.97064139513538,0.2711943064555374,0.03525651989742086,0.025612378719177698,1.4814951599194883
1692025890.882891,2.990353176665286,0.9707447983957832,0.27128924319736125,0.0350942103341343,0.025998658893467926,1.4811650361996598
1692025890.8928938,2.990393629092204,0.9706629356071576,0.27138874565893967,0.03568257855998173,0.02617440067435945,1.4814372834627523
1692025890.9076502,2.990431439824629,0.9707996949677415,0.27213909735140906,0.040810611199094876,0.02562417956525636,1.4830909802082808
1692025890.9429564,2.9902226137118566,0.9706084497678109,0.2716918637465825,0.04012716752398344,0.025541826241268856,1.4828787232889333
1692025890.945306,2.990038692089365,0.9710356621318572,0.27194948068821545,0.03876055000941297,0.028237775562232136,1.480240664162499
1692025890.9454932,2.990346125343699,0.970732775794588,0.2712873230431738,0.035308941001655623,0.025803634711623898,1.4814306254593705
1692025890.9530768,2.990315689849387,0.9707627371378122,0.2713150403884474,0.03509084820974428,0.02594645136591939,1.4811084154140035
1692025890.9619415,2.990344041116523,0.9706722264385582,0.27136000027585716,0.03542733801241718,0.025989633870267537,1.4813123126877217
1692025890.9728858,2.9904126180520403,0.9707908412898788,0.27210007953155485,0.04075678065085772,0.025687122619388002,1.483105167576346
1692025890.9829733,2.990027941092927,0.9711970731486947,0.27208823330358906,0.03868691517350277,0.028610346077176073,1.479632463954458
1692025890.9929132,2.9899904720756174,0.9711704305847447,0.2720981201275501,0.039379738958492484,0.028894362803274988,1.4797697489289496
1692025891.0028899,2.9900375982450567,0.9717632752845433,0.27268087360043336,0.03893341720062181,0.030922084406304194,1.4779577562258115
1692025891.0118973,2.9897586463722563,0.9715401984197221,0.27186720555583416,0.03332946027634631,0.0316543920581059,1.4762144616376642
