time,Xm,Xo,delta,comp_time
0.064,0.9867536880648482,1,0.25,0.002988100051879883
1.6640000000000001,0.9867901102883132,1,0.25,0.003017425537109375
3.2640000000000002,0.9904200599116126,1,0.25,0.0029768943786621094
4.864,0.9939751614589785,1,0.25,0.0020253658294677734
6.464,0.9961469553522124,1,0.25,0.002970457077026367
8.064,0.9986539268818513,1,0.25,0.0030002593994140625
9.664,0.9937839654509204,1,0.25,0.0030014514923095703
11.264,0.9939198321939295,1,0.25,0.001999378204345703
12.864,0.9925489152531772,1,0.25,0.002981901168823242
14.464,0.9878184167520832,1,0.25,0.0029604434967041016
16.064,0.8538175082359711,1,0.25,0.003017902374267578
17.664,0.717650271728792,1,0.25,0.0029914379119873047
19.264,0.6601891502592263,1,0.25,0.002997159957885742
20.864,0.5333053056272243,1,0.25,0.002022981643676758
22.464000000000002,0.409580632075198,1,0.25,0.004001140594482422
24.064,0.32323942119534554,1,0.25,0.0030319690704345703
25.664,0.22205780628319705,1,0.25,28.199222087860107
27.264,0.8754761119388006,1,0.25,0.002970457077026367
28.864,0.8770856028569805,1,0.25,0.0029714107513427734
30.464000000000002,0.8590743723419489,1,0.25,0.0029802322387695312
32.064,0.8010820178192972,1,0.25,0.0019996166229248047
33.664,0.7269253686008987,1,0.25,0.0030274391174316406
35.264,0.6969711921142008,1,0.25,0.0029773712158203125
36.864000000000004,0.6775942615609323,1,0.25,0.003015279769897461
38.464,0.7213401385412279,1,0.25,0.0030012130737304688
40.064,0.7200601804094213,1,0.25,0.002961874008178711
41.664,0.688077057605863,1,0.25,0.025975704193115234
43.264,0.7022117504101892,1,0.25,0.002986907958984375
44.864000000000004,0.909797372097122,1,0.25,0.001996755599975586
46.464,0.8454742630087306,1,0.25,0.002972126007080078
48.064,0.5897870910786653,1,0.25,0.0029952526092529297
49.664,0.3737979106630681,1,0.25,0.003010272979736328
51.264,0.21630001933399973,1,0.25,63.8761465549469
52.864000000000004,0.9878795293669314,0,0.25,0.0029900074005126953
54.464,0.9932241595827722,0,0.25,0.003021717071533203
56.064,0.996884050774208,0,0.25,0.0019905567169189453
57.664,0.9959247457237426,0,0.25,0.001993417739868164
59.264,0.9944767592222155,0,0.25,0.003001689910888672
60.864000000000004,0.9948979527788258,0,0.25,0.0020034313201904297
62.464,0.9972823187661974,0,0.25,0.0030002593994140625
64.06400000000001,0.9898095793694139,0,0.25,0.00299072265625
65.664,0.9894256234297514,0,0.25,0.003022432327270508
67.264,0.9930279883624828,0,0.25,0.00299072265625
68.864,0.9945557236025118,0,0.25,0.0029990673065185547
70.464,0.9949170383572143,0,0.25,0.002000570297241211
72.06400000000001,0.9943863370497985,0,0.25,0.003997802734375
73.664,0.9962638006437889,0,0.25,0.0030295848846435547
75.264,0.997895921148992,0,0.25,0.001989126205444336
76.864,0.9973169535057456,0,0.25,0.0029904842376708984
78.464,0.9950368677436539,0,0.25,0.003984689712524414
80.06400000000001,0.9983102055098487,0,0.25,0.0030312538146972656
