time,x,y,z,x_rot,y_rot,z_rot
1690993897.4388514,2.983414042805216,3.0343765830397014,0.3498254545843403,-0.6876164386042888,0.03868161326332623,1.5570891208000548
1690993897.4489849,2.9823174491312403,3.035116207782918,0.3497069342106953,-0.6894410057012476,0.04036877488504928,1.5531312549534144
1690993897.4599018,2.9822923334090357,3.0346917177780433,0.3496590057379627,-0.6887612789859568,0.04124061553034927,1.5528048818790046
1690993897.4687898,2.9821928919215956,3.034887127167393,0.3493989368208669,-0.6898632396423655,0.04186199686768546,1.5518860272477453
1690993897.4798663,2.9823939568369964,3.034559740561902,0.3498739561178965,-0.6886531203931845,0.04221240394365415,1.5524349176987242
1690993897.4882424,2.9820650874678534,3.034760057368465,0.34980221902085107,-0.689093679352329,0.042826356033012956,1.5522488065754665
1690993897.502277,2.9823277100597276,3.034735361700899,0.34951127878716776,-0.6902658932262499,0.044050147163964465,1.5502072542011307
1690993897.509855,2.9822929731690913,3.0347732894982915,0.3493095231869772,-0.6899280525262461,0.04293340890349475,1.550861156341053
1690993897.518966,2.982387224409951,3.034909719967934,0.349219747669526,-0.6900666530601515,0.04318211960027648,1.551034659297503
1690993897.5288293,2.9824858010505606,3.0343378366640033,0.349237953163559,-0.6894944249394872,0.04283691711180398,1.5514887961022814
1690993897.5398319,2.98213219390214,3.034912117656333,0.34954760729662737,-0.6898966889316325,0.0434073896649084,1.551511857652883
1690993897.5494912,2.987569351743099,3.0335658959692675,0.349975231162351,-0.68609047586131,0.01784992975881663,1.5805525305553618
1690993897.5589893,2.9873271738470177,3.033762476563315,0.3495716239733112,-0.6865753457724328,0.01889630160992119,1.5793187066515701
1690993897.569936,2.9874239132482625,3.0343878599536516,0.34916213105491495,-0.690990135877041,0.017079069897380082,1.5792254918469024
1690993897.578929,2.9874357393583604,3.0345789036908797,0.3488390193161634,-0.6921908198286376,0.015719591477921135,1.579744583829384
1690993897.5902379,2.987542083166566,3.0342563083524645,0.3492206338439985,-0.6889953226659021,0.015977368716512556,1.5800548476870226
1690993897.5989158,2.9826087938306576,3.034337546908545,0.3495254746505154,-0.689311170701913,0.04324410519768521,1.5514223342988551
1690993897.60992,2.9822645970089003,3.0345607610473593,0.34932822425110066,-0.6903198880654137,0.04552037181538966,1.5500911609308066
1690993897.6189027,2.9824118482076964,3.034595224968379,0.34998270668216347,-0.6893179548214725,0.04418442040806863,1.5517674779816941
1690993897.6279273,2.982192644260991,3.034829547508245,0.34966237649516346,-0.6897772434397313,0.043115987661062345,1.5517645845088905
1690993897.6399944,2.982430115793468,3.0351173763719985,0.34982477797710004,-0.6891216995119539,0.04215413217752432,1.5527148568596976
1690993897.649887,2.9821967373272185,3.0343415550461366,0.349327380510283,-0.6875548227237659,0.04521802920169848,1.5506502927564652
1690993897.659022,2.9824168156186897,3.0348259284341554,0.34898953456220133,-0.6905333380014235,0.04248508958763683,1.5512579473307309
1690993897.6706402,2.9825126898397465,3.03427510630107,0.3495226490348737,-0.6897935243496258,0.04420178235139534,1.5506334424743506
1690993897.6790013,2.982243882055175,3.034764340079767,0.34950485368279793,-0.6907863650822073,0.04644127404513601,1.5493669713986336
