time,Xm,Xo,delta,comp_time
0.064,0.9867536880648482,1.0,0.75,0.0030002593994140625
1.6640000000000001,0.9867901102883132,1.0,0.75,0.0026068687438964844
3.2640000000000002,0.9904200599116126,1.0,0.75,0.002972126007080078
4.864,0.9939751614589785,1.0,0.75,0.002997159957885742
6.464,0.9961469553522124,1.0,0.75,0.0020012855529785156
8.064,0.9986539268818513,1.0,0.75,0.0029997825622558594
9.664,0.9937839654509204,1.0,0.75,0.002016782760620117
11.264,0.9939198321939295,1.0,0.75,0.00299835205078125
12.864,0.9925489152531772,1.0,0.75,0.0029697418212890625
14.464,0.9866910156813555,1.0,0.75,0.003028392791748047
16.064,0.8898755993390541,1.0,0.75,0.003002643585205078
17.664,0.7446918790422685,1.0,0.75,32.559001445770264
19.264,0.902097925139715,0.874053287886007,0.75,0.003003358840942383
20.864,0.906327443521812,0.874053287886007,0.75,0.0019989013671875
22.464000000000002,0.9285947812310389,0.874053287886007,0.75,0.002999544143676758
24.064,0.9560210053431666,0.874053287886007,0.75,0.0020003318786621094
25.664,0.9871467355754153,0.874053287886007,0.75,0.003000974655151367
27.264,0.9288450834521793,0.874053287886007,0.75,0.003021717071533203
28.864,0.938660609302771,0.874053287886007,0.75,0.002000093460083008
30.464000000000002,0.9230159749031486,0.874053287886007,0.75,0.0029997825622558594
32.064,0.9484328772299202,0.874053287886007,0.75,0.003014087677001953
33.664,0.9021504299850751,0.874053287886007,0.75,0.002988576889038086
35.264,0.8859545840128542,0.874053287886007,0.75,0.002999544143676758
36.864000000000004,0.866058972911063,0.874053287886007,0.75,0.0030007362365722656
38.464,0.8646916387595889,0.874053287886007,0.75,0.0029990673065185547
40.064,0.9139450935339881,0.874053287886007,0.75,0.003013134002685547
41.664,0.901939766400049,0.874053287886007,0.75,0.003000497817993164
43.264,0.8920704885032915,0.874053287886007,0.75,0.003019571304321289
44.864000000000004,0.9024617655462801,0.874053287886007,0.75,0.003000020980834961
46.464,0.8854196750837136,0.874053287886007,0.75,0.0019867420196533203
48.064,0.635947549342381,0.874053287886007,0.75,60.768537282943726
49.664,0.9887050285519867,0.0,0.75,0.002950906753540039
51.264,0.9850269617672451,0.0,0.75,0.002029895782470703
52.864000000000004,0.9875042907596319,0.0,0.75,0.0030150413513183594
54.464,0.9882766297089187,0.0,0.75,0.0019996166229248047
56.064,0.9941673841628498,0.0,0.75,0.001993894577026367
57.664,0.9959021191958355,0.0,0.75,0.003017425537109375
59.264,0.9966682973006076,0.0,0.75,0.002963542938232422
60.864000000000004,0.9961453057062328,0.0,0.75,0.0029823780059814453
62.464,0.9919299027572215,0.0,0.75,0.003016948699951172
64.06400000000001,0.9964840158428359,0.0,0.75,0.0019991397857666016
65.664,0.9984084112284302,0.0,0.75,0.0030002593994140625
67.264,0.9953962380988897,0.0,0.75,0.0030167102813720703
68.864,0.9922085439774009,0.0,0.75,0.002988100051879883
70.464,0.9908383680827826,0.0,0.75,0.0019981861114501953
72.06400000000001,0.9901620289444109,0.0,0.75,0.0029964447021484375
73.664,0.9948541101632435,0.0,0.75,0.002015829086303711
75.264,0.9883186919548888,0.0,0.75,0.0029702186584472656
76.864,0.9895017319993085,0.0,0.75,0.002980470657348633
78.464,0.9835758141354991,0.0,0.75,0.0029926300048828125
80.06400000000001,0.9823515007287402,0.0,0.75,0.0030002593994140625
