,time,Xm,Xo,delta,comp_time
0,0.06400000000000003,0.9867536880648482,1.0,1.0,36.350384092330934
1,1.6640000000000008,0.9391604379950105,1.0,1.0,35.32847508192062
2,3.2640000000000016,0.7914247887360268,1.0,1.0,34.06610074043274
3,4.864000000000001,0.7908027593992683,1.0,1.0,33.442765867710115
4,6.464,0.7982151908990466,1.0,1.0,32.21532813310623
5,8.063999999999997,0.9010184772917015,1.0,1.0,31.690132880210875
6,9.663999999999996,0.7980864146391227,1.0,1.0,38.50234794616699
7,11.264000000000003,0.7341886246194484,0.2624657732442491,1.0,37.50691698789596
8,12.864,0.7492260109204409,0.24772718015335293,1.0,36.32941887378693
9,14.464000000000002,0.8273112067362742,0.17940884122811576,1.0,34.94436556100845
10,16.064,0.8917753160086562,0.30576940274002223,1.0,34.050862395763396
11,17.663999999999994,0.895071778119191,0.3298898901253396,1.0,33.17125917673111
12,19.264000000000003,0.8902121694729924,0.282830849759595,1.0,32.12282282114029
13,20.863999999999994,0.8990768079686969,0.29978178021346574,1.0,31.391310393810272
14,22.464,0.8951666380636525,0.329268426096172,1.0,30.07426130771637
15,24.064000000000007,0.9143013356420685,0.3825889008581665,1.0,29.247305166721343
16,25.663999999999994,0.9554233669200869,0.37378284458145444,1.0,28.799695110321046
17,27.264000000000003,0.9203533712269923,0.35937143855254994,1.0,28.194080972671507
18,28.863999999999994,0.8948484763420552,0.3458123544038169,1.0,26.45642355680466
19,30.463999999999988,0.8936095661047825,0.3594616455821019,1.0,25.195317924022675
20,32.064,0.8773935973300164,0.38652479491041436,1.0,24.42942681312561
21,33.663999999999994,0.8381102930959013,0.3345852120795802,1.0,23.38074141740799
22,35.264,0.7920889119733401,0.34995067611424313,1.0,22.25330921411514
23,36.864000000000004,0.7528039930446067,0.3303824691559746,1.0,31.262282609939575
24,38.463999999999984,0.7514616344769987,0.0521228440132737,1.0,50.908849596977234
25,40.06399999999999,0.754360899812766,0.0,1.0,59.383556842803955
26,41.663999999999994,0.7552938897996472,0.0,1.0,61.543267691135405
27,43.264,0.7503934422599834,0.0,1.0,61.381446433067325
28,44.864000000000004,0.7904463800426147,0.0,1.0,61.97147297859192
29,46.46399999999998,0.8975909463693872,0.0,1.0,62.06836377382278
30,48.063999999999986,0.961345771072531,0.0,1.0,62.18760823011398
31,49.663999999999994,0.9906788385465285,0.0,1.0,62.1168730378151
32,51.263999999999996,0.9910889128763944,0.0,1.0,62.49948980808258
33,52.86400000000001,0.9912751910973585,0.0,1.0,62.32903244495392
34,54.46399999999998,0.9913504161598213,0.0,1.0,62.39909930229187
35,56.064,0.9924888413127377,0.0,1.0,62.64905370473862
36,57.664,0.9937342413029778,0.0,1.0,63.36241557598114
37,59.26399999999999,0.9941219215899844,0.0,1.0,62.70175062417984
38,60.86400000000001,0.994179415682933,0.0,1.0,62.647354531288144
39,62.46399999999996,0.995783610169957,0.0,1.0,62.74106329679489
40,64.06400000000001,0.9935064606551981,0.0,1.0,63.007611668109895
41,65.664,0.9945012174365602,0.0,1.0,62.60331863164902
42,67.26399999999998,0.9946285125405702,0.0,1.0,62.31290146112442
43,68.86400000000002,0.9946308189656611,0.0,1.0,62.229735386371615
44,70.46399999999997,0.9945956221438441,0.0,1.0,62.446944653987885
45,72.06400000000001,0.9946411718685081,0.0,1.0,62.54555470943451
46,73.664,0.9945150193558241,0.0,1.0,62.6176998257637
47,75.26399999999997,0.9945609790019667,0.0,1.0,62.637237751483916
48,76.86400000000002,0.9952347625273928,0.0,1.0,62.49436341524124
49,78.46399999999997,0.9943334896509178,0.0,1.0,62.64338744878769
50,80.06400000000002,0.9940811863149703,0.0,1.0,62.25170933008194
