time,Xm,Xo,delta,comp_time
0.064,0.9842721050184896,1.0,0.0,0.0029993057250976
1.664,0.979386891482481,1.0,0.0,0.002000093460083
3.264,0.9801347786103268,1.0,0.0,0.0070242881774902
4.864,0.9794644339223058,1.0,0.0,0.0030252933502197
6.464,0.3173105078629141,1.0,0.0,0.0050134658813476
8.064,0.3173105078629141,1.0,0.0,0.0020134449005126
9.664,0.3173105078629141,1.0,0.0,0.0050363540649414
11.264,0.3173105078629141,1.0,0.0,0.0030262470245361
12.864,0.3173105078629141,1.0,0.0,0.0039966106414794
14.464,0.3173105078629141,1.0,0.0,0.0029952526092529
16.064,0.3173105078629141,1.0,0.0,0.0039973258972167
17.664,0.3173105078629141,1.0,0.0,0.0090334415435791
19.264,0.3173105078629141,1.0,0.0,0.01104736328125
20.864,0.3173105078629141,1.0,0.0,0.0069880485534667
22.464,0.3173105078629141,1.0,0.0,0.003000259399414
24.064,0.3173105078629141,1.0,0.0,0.0050220489501953
25.664,0.3173105078629141,1.0,0.0,0.0070013999938964
27.264,0.9693856526824444,1.0,0.0,0.0029990673065185
28.864,0.967748541930994,1.0,0.0,0.0040102005004882
30.464,0.920344325445942,1.0,0.0,0.0030539035797119
32.064,0.9574282544818808,1.0,0.0,0.0060319900512695
33.664,0.9565692123310144,1.0,0.0,0.0050287246704101
35.264,0.9569979244257998,1.0,0.0,0.0050323009490966
36.864,0.8826083159433318,1.0,0.0,0.0120389461517333
38.464,0.6763521237023098,1.0,0.0,0.0039975643157958
40.064,0.5142634308916336,1.0,0.0,0.006035566329956
41.664,0.4058030030002764,1.0,0.0,0.0090370178222656
43.264,0.310850599479503,1.0,0.0,0.0030200481414794
44.864,0.1895495482619092,1.0,0.0,0.0039985179901123
46.464,0.1127387173947523,1.0,0.0,0.0020012855529785
48.064,0.078427483042075,1.0,0.0,0.0020017623901367
49.664,0.042616087992682,1.0,0.0,0.017038345336914
51.264,0.0202392725781776,1.0,0.0,0.0039989948272705
52.864,0.010894357585604,1.0,0.0,0.0069973468780517
54.464,0.004761525795194,1.0,0.0,0.0079913139343261
56.064,0.001911014755189,1.0,0.0,0.0030224323272705
57.664,0.0007965316949885,1.0,0.0,0.0030257701873779
59.264,0.0005992651996858,1.0,0.0,0.0020163059234619
60.864,0.0002751281243092,1.0,0.0,0.0040202140808105
62.464,0.0001142795430042,1.0,0.0,0.0029976367950439
64.06400000000001,4.591367306285061e-05,1.0,0.0,0.0269985198974609
65.664,1.6747186029995296e-05,1.0,0.0,0.001993179321289
67.264,4.826117644196248e-06,1.0,0.0,0.0129971504211425
68.864,3.2263608777603226e-06,1.0,0.0,0.0030162334442138
70.464,4.192558219710702e-06,1.0,0.0,0.0079932212829589
72.06400000000001,1.6192792914974468e-06,1.0,0.0,0.0060322284698486
73.664,4.54306250618925e-07,1.0,0.0,0.0020217895507812
75.264,1.5083867816042718e-07,1.0,0.0,0.0039999485015869
76.864,4.5214999729841606e-08,1.0,0.0,0.0069961547851562
