label,mse,cnt
0.0,0.13698108954956423,0.20116643627947992
0.0,0.13698108954956423,0.16761327694285638
0.0,0.13528950426311812,0.18098068345544155
0.0,0.13698108954956423,0.15453976888782173
0.0,0.13698108954956423,0.14385654437247186
0.0,0.13698108954956423,0.1626870734028344
0.0,0.13698108954956423,0.15584691537634063
0.0,0.13698108954956423,0.2146978814086494
0.0,0.13698108954956423,0.18521549069545892
0.0,0.13698108954956423,0.18635860702084014
0.1,0.07493069236608402,56.239263596945364
0.1,0.2233662528467009,55.56963660898243
0.1,0.07283550598131629,55.68083469692756
0.1,0.2233662528467009,55.563444617410276
0.1,0.21200261648306454,55.259104128993684
0.1,0.21200261648306454,55.145867067302746
0.1,0.21200261648306454,55.31797213804255
0.1,0.062179487474889446,55.903997777150025
0.1,0.07493069236608402,55.32648755859469
0.1,0.0646824076083845,55.60544845970231
0.25,0.0744321819755467,61.31967612798872
0.25,0.14388392289048663,55.57959335053848
0.25,0.14388392289048663,55.944265228855
0.25,0.05824275971178719,56.23286841107087
0.25,0.06266884357174564,56.71481155359083
0.25,0.05824275971178719,56.27309052426808
0.25,0.06978807500429167,56.27547319895042
0.25,0.05567120273843347,55.72763120698766
0.25,0.08450830858947406,56.2557949076543
0.25,0.029893589320293703,55.59016302195001
0.5,0.009269717971889475,76.42410927240213
0.5,0.05021155370299867,75.25895046387578
0.5,0.029804058225392414,75.5449711890904
0.5,0.012086343911922965,75.42293586305186
0.5,0.03316252885868978,75.49143123010616
0.5,0.06483743051957225,76.59340940836896
0.5,0.00766497460614344,80.82267650058931
0.5,0.02780423501706363,75.2324643050186
0.5,0.052889883974967654,75.0629052443379
0.5,0.012086343911922965,74.87938582809291
0.75,0.03235744065164591,87.58626691089465
0.75,0.027267201208165667,91.18187860876668
0.75,0.014365921777457403,94.47008111737581
0.75,0.026339246627228776,85.31915054007818
0.75,0.052501700284853306,84.61542102939518
0.75,0.08619231449291466,87.78904101190426
0.75,0.05113560633405349,89.33800353772078
0.75,0.008808818486777774,85.34119000758568
0.75,0.05834455369478517,87.38406592551725
0.75,0.02998854202828085,88.55779354977855
0.9,0.0735866974045583,92.09615686784944
0.9,0.0315616365657426,94.205130498791
0.9,0.04552512527909356,92.72287823674733
0.9,0.06162208838779308,92.41228626200075
0.9,0.024264026824597825,93.13551069034453
0.9,0.019348372193026164,92.07429137464526
0.9,0.0951308784900735,93.67139227100216
0.9,0.013738547100898986,92.34562525809477
0.9,0.055139565832606346,92.43181647476375
0.9,0.07157260713560304,93.35747746301499
1.0,0.03877799566104896,97.93623916405724
1.0,0.0959519072084439,97.93760640928288
1.0,0.0839360409667816,97.92683638713888
1.0,0.05648566924527457,98.20937027670391
1.0,0.09494815867921544,97.8501321515007
1.0,0.04643281240520112,97.99502175023737
1.0,0.04609784461732034,97.96757463566689
1.0,0.08694432768728365,97.87950952177248
1.0,0.05561094039762005,98.08218480363816
1.0,0.05588910520425181,97.98565519388477
