,condition,Xm
0,block,0.08589274239677963
1,block,0.08053816629367784
2,block,0.08587123008826
3,block,0.08580811457126233
4,block,0.08588685441191193
5,block,0.08060699372654125
6,block,0.08046698353926264
7,block,0.08586590565064971
8,block,0.08050893622930863
9,block,0.08056165959452667
10,block,0.08060538295495207
11,block,0.08056238110470541
12,block,0.08054810523300526
13,block,0.0805752671942142
14,block,0.0858379216198527
15,block,0.08061477117491818
16,block,0.080579069242058
17,block,0.0824751333810426
18,block,0.08594594019813692
19,block,0.0805519282557454
20,sand,0.13140443684724165
21,sand,0.15823302034296233
22,sand,0.15621820959886393
23,sand,0.15870306252567407
24,sand,0.16791063255366684
25,sand,0.12438309313813252
26,sand,0.17781283969073136
27,sand,0.1500949104457813
28,sand,0.14055758538207483
29,sand,0.16821112130062837
30,sand,0.1760766072896865
31,sand,0.16179495266756797
32,sand,0.16681558593894283
33,sand,0.15904655194400052
34,sand,0.17636802759483253
35,sand,0.15438261822256688
36,sand,0.13466605177918942
37,sand,0.15953937189571066
38,sand,0.16501123396573705
39,sand,0.1693585268889405
40,baseline,0.8752856410735229
41,baseline,0.8665932320138061
42,baseline,0.852593518885635
43,baseline,0.8712778954281779
44,baseline,0.9275576554666092
45,baseline,0.9514558507516374
46,baseline,0.8414189171339751
47,baseline,0.7970474205191835
48,baseline,0.8971745742009788
49,baseline,0.9426868183636372
50,baseline,0.9066793095044009
51,baseline,0.9553319360306425
52,baseline,0.7403333310131579
53,baseline,0.7747446089686115
54,baseline,0.8199922114292328
55,baseline,0.9532306983250092
56,baseline,0.7769892286666666
57,baseline,0.9190787227615128
58,baseline,0.8978422059461798
59,baseline,0.9524855823790184
