rosbagTimestamp,seq,secs,nsecs,frame_id,x,y,z,x,y,z,w
1688746240397580740,22761,1688746240,392766577,"""world""",0.016392601747668455,1.934894977715208,0.24725457393977174,0.010828372886019072,-0.015312782411324022,0.7376541651967361,0.6749182154923448
1688746240405934146,22762,1688746240,402789210,"""world""",0.016640705521375386,1.9341104394631257,0.24625997367397134,0.012671958545254698,-0.01870041771881671,0.7382216938522084,0.6741798325148458
1688746240415635958,22763,1688746240,412775729,"""world""",0.015791869238954908,1.934120402577419,0.2489205005009808,0.010899510053878524,-0.013199260822240494,0.7378238139941858,0.6747762589906413
1688746240417943083,22764,1688746240,413325296,"""world""",0.01583675773990399,1.9342203459465939,0.2483322065286901,0.010810513969790415,-0.013848280005758034,0.7376765167739922,0.6749257103776543
1688746240435570018,22765,1688746240,432725312,"""world""",0.015683943321455295,1.9342225898532661,0.24877380741164123,0.010737297287804586,-0.013596055970794154,0.7376961513625266,0.6749105466459304
1688746240445924858,22766,1688746240,442742334,"""world""",0.017221698917623745,1.934663658417639,0.24709277979968966,0.012142967753674464,-0.014428961095885609,0.7386456314658211,0.6738300858022631
1688746240455633344,22767,1688746240,452770444,"""world""",0.015083245863775317,1.934285405994765,0.2488313819226766,0.011180465284320453,-0.013584118930972557,0.7376621386383788,0.6749407663849832
1688746240466302588,22768,1688746240,462765507,"""world""",0.015391593371172373,1.934287627254485,0.24843183127700402,0.01144667674203196,-0.013846531078555609,0.73777423124309,0.674808440138623
1688746240475675535,22769,1688746240,472741981,"""world""",0.0152963948592772,1.934286203657588,0.24839395476376142,0.011483871905132196,-0.013827295565766165,0.7377637166044475,0.6748196981752949
1688746240485995388,22770,1688746240,482817558,"""world""",0.015370477555372077,1.9342784292575392,0.2482953727697018,0.01150934334869695,-0.014125493417736723,0.7377635530759573,0.6748132669147269
1688746240495692380,22771,1688746240,492769043,"""world""",0.01560660713389928,1.933902093918433,0.24912425571997138,0.010556985225854978,-0.012746366579706547,0.7376480005754003,0.6749825978861018
1688746240505929529,22772,1688746240,502755448,"""world""",0.013776765959360327,1.9339383538105428,0.24808888042357763,0.009828625491530085,-0.017917017067013857,0.7359989265922932,0.6766741894555752
1688746240516992409,22773,1688746240,512749431,"""world""",0.01739201869566334,1.9347100051997612,0.24702340041355864,0.012681816455443485,-0.014474326752912152,0.738915345701067,0.6735234051493036
1688746240525819446,22774,1688746240,522743011,"""world""",0.014916184580445116,1.9345454891055223,0.24865017064462452,0.009882507696766492,-0.014417606055676295,0.7369593055150515,0.6757110704228692
1688746240535648863,22775,1688746240,532779631,"""world""",0.016349279817906615,1.9348825206693971,0.24721108179695914,0.01082641396558798,-0.015388998827491852,0.7375961086168625,0.6749799612055123
1688746240545678010,22776,1688746240,542741788,"""world""",0.016292059550252296,1.9348596364819828,0.24725340047262745,0.01086872639668218,-0.015344848233551603,0.7376783246960397,0.6748904323613187
1688746240557040767,22777,1688746240,552797576,"""world""",0.015850194060564576,1.9340162811785788,0.24899401478249703,0.010873739012641619,-0.01286046795063117,0.7378521180780976,0.6747522671407937
1688746240565598183,22778,1688746240,562740750,"""world""",0.01527693220021356,1.9333826365181899,0.24847439023565895,0.010637274432208995,-0.015966873786339417,0.7372074350840643,0.6753940368339953
1688746240575644615,22779,1688746240,572739103,"""world""",0.013604897318601084,1.9338077189000735,0.24787216743322382,0.009930405712396425,-0.01918208854034712,0.7358940740979543,0.6767520566862965
1688746240585482641,22780,1688746240,582737290,"""world""",0.01743649933885796,1.9346501689865385,0.24703041201549983,0.012623143708620162,-0.014419434143108945,0.7389563398333464,0.6734807079508721
1688746240587588679,22781,1688746240,582926983,"""world""",0.014189235688262684,1.9347334532312301,0.2484991780476068,0.01020730324597995,-0.014896342243174385,0.7367682616382948,0.6759041637619226
1688746240605681523,22782,1688746240,602837273,"""world""",0.016786972260380405,1.9346706018431408,0.24669830697511128,0.011460258278252708,-0.016633625208004262,0.7378199228618818,0.6746952989466595
1688746240615338183,22783,1688746240,612775234,"""world""",0.015752767977018547,1.934323585622961,0.24826344189538818,0.010873647849280299,-0.014121331889961418,0.7376349637484342,0.674964452415051
1688746240625792931,22784,1688746240,622767643,"""world""",0.015529456279385236,1.9336382208549159,0.24801601863284495,0.011044656826484894,-0.016314027555256697,0.7373087293943889,0.6752686173807748
1688746240636284937,22785,1688746240,632859435,"""world""",0.016269768091322696,1.9348033552906834,0.24705783618857385,0.010952619003142363,-0.015746960985960207,0.7376344954432198,0.6749277179734918
1688746240645618555,22786,1688746240,642808823,"""world""",0.016285271842538605,1.9349950858252005,0.2473827462461586,0.010963682699172823,-0.01543433014425065,0.7376989711943136,0.6748642878486913
1688746240657909438,22787,1688746240,652745468,"""world""",0.01744301189517691,1.9346765266746346,0.24702870585296216,0.012666131077848872,-0.014499868893745061,0.7389501578531259,0.6734849568731461
1688746240665603075,22788,1688746240,662747545,"""world""",0.014915472731621545,1.9345541871638594,0.2486275203447103,0.009895109414072189,-0.014582458230019626,0.7369628237661111,0.6757035112446383
1688746240675523850,22789,1688746240,672759509,"""world""",0.016656376892818684,1.9344544061842626,0.24660809601913622,0.011621244466755203,-0.017033316808323637,0.7378146407993813,0.6746883492529209
1688746240685614629,22790,1688746240,682698535,"""world""",0.016499173940234067,1.9343202061896927,0.24644036190195454,0.011719305002745876,-0.018117932616163884,0.7377703118963378,0.6747068736068644
1688746240696034414,22791,1688746240,692743155,"""world""",0.015804453042748114,1.934073896031518,0.24885030348877954,0.010833030270960671,-0.013181192913816593,0.7377342616717075,0.6748755891008489
