rosbagTimestamp,seq,secs,nsecs,frame_id,x,y,z,x,y,z,w
1688746077106047691,19710,1688746077,102819633,"""world""",-0.042924119188835035,-0.5751020281388423,0.2015153209557707,0.009471628928413186,0.003304016607051617,-0.6995704602673377,0.7144932069943338
1688746077116065312,19711,1688746077,112824757,"""world""",-0.04333077027165014,-0.5797186979861797,0.2019289135098145,0.010886257614722996,0.0028696385574738647,-0.6989593060308945,0.7150728236218363
1688746077125483868,19712,1688746077,122762326,"""world""",-0.04294096807498331,-0.5844461678268712,0.2023205905177097,0.01165798778594947,0.0034494069697289247,-0.6991711717559386,0.7148509393557286
1688746077135654848,19713,1688746077,132831553,"""world""",-0.04265343606920219,-0.5892612793763974,0.20199761117154488,0.01197494824542779,0.0026934526513363874,-0.6991976642597822,0.7148230355976221
1688746077145817341,19714,1688746077,142889803,"""world""",-0.042751560717934727,-0.593743079214052,0.20098324876917312,0.009291722012994217,0.0024008720189229765,-0.6993270705687686,0.7147373979898397
1688746077155984725,19715,1688746077,152789524,"""world""",-0.04273756861505705,-0.5986850168379382,0.2005648904283663,0.009251944396877826,0.0027444904929952085,-0.6994318878972838,0.7146341046222551
1688746077165948005,19716,1688746077,162751210,"""world""",-0.04363859495591163,-0.6032875240653132,0.20207087792308265,0.010879707080320766,0.0034376149233932255,-0.6985973227259223,0.7154240668705928
1688746077176281932,19717,1688746077,172952459,"""world""",-0.042894796521191575,-0.6084201538286673,0.20255852656883558,0.011890534035363063,0.00425173904249426,-0.6998421224386377,0.7141859292761594
1688746077195825941,19718,1688746077,192803280,"""world""",-0.04294627267416667,-0.6128420182397573,0.20253576601699863,0.011942745727181582,0.004457961091135676,-0.6992948793042837,0.7147196437668503
1688746077198756777,19719,1688746077,192964752,"""world""",-0.04418402485485811,-0.6184061302973174,0.19940304995273062,0.0042666721162825496,0.003031466458633403,-0.6982536275725313,0.7158313190284168
1688746077205782785,19720,1688746077,202757344,"""world""",-0.042605527480820894,-0.622376096673195,0.20148548560633636,0.012057956261715387,0.0032095104557219468,-0.69903135298007,0.7149821482276868
1688746077216108010,19721,1688746077,212817811,"""world""",-0.04258821285694491,-0.6272031679224337,0.20085380772547373,0.010668614228187996,0.0035138977233432093,-0.699801044581312,0.7142494880615209
1688746077226108511,19722,1688746077,222752218,"""world""",-0.04152270323770386,-0.6317851465094767,0.20058373018500517,0.010289685117645804,0.0032404663625152466,-0.7002966988000939,0.7137703800296168
1688746077236100729,19723,1688746077,232824731,"""world""",-0.04218666241604398,-0.6368560744488262,0.20117670861075387,0.012709614050395614,0.0036389846259594558,-0.6996234063766626,0.7143894685334445
1688746077245971110,19724,1688746077,242786732,"""world""",-0.04224021208635511,-0.6414363643489762,0.20052425233812607,0.010867049798937272,0.002859725743953749,-0.69932284236382,0.7147176304985938
1688746077255525759,19725,1688746077,252837514,"""world""",-0.042190087748863014,-0.6455748853580557,0.20149523037752137,0.013228327233747079,0.003312549342276097,-0.6996270786164995,0.7143780436449559
1688746077266186295,19726,1688746077,262863147,"""world""",-0.04184912154217447,-0.6502706514493934,0.200905955481761,0.011979730390301268,0.0026624819852912843,-0.6996755063360327,0.7143553619053126
